CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,633600,2057.599056,3.2474732575757574,39.63633182937939,5.77943238524659,51.90821174166223,145.811484527
1,902400,2928.171942,3.2448713896276598,57.44614866948045,5.886004317780732,50.96836220349775,102.461252044
1,1113600,3593.115591,3.2265765005387936,67.66281218489164,5.649794783630679,53.09927377702267,83.499260542
1,1401600,4551.661356,3.2474752825342463,104.20980718763083,6.869031355416074,43.67428018267188,65.915402214
1,1536000,4988.277548,3.2475765286458333,142.88552702881668,8.594122715461292,34.90757694910311,60.146908467
1,1747200,5674.080799,3.247527929830586,164.07410383282703,8.675711955120667,34.57929465061723,52.876790136
1,1843200,5985.873339,3.2475441292317706,182.83973669648,9.164575928616218,32.73473888336236,50.123545867
4,1113600,5826.82671,5.2324234105603455,210.39091428690207,10.83438132578496,27.68962905948529,51.496431595
4,1401600,7332.453439,5.231487898829909,301.87039515377506,12.353967697690878,24.28369632665253,40.924740869
4,1747200,9144.111192,5.233580123626374,449.42150626137516,14.749229870465289,20.340045048774876,32.818255613
4,1958400,10244.152296,5.230878419117647,579.3870947494829,16.974048084074912,17.674039717223415,29.296558791
4,2150400,11248.593926,5.2309309551711305,727.8332958992694,19.418918638999223,15.448851997222274,26.680448323
4,2208000,11557.13075,5.234207767210145,768.8655994112801,19.966231568930223,15.025369157134032,25.968428792
